Date,Actual_IP,BlueChip_Forecast,Oxford_Forecast,MA4CAST_Forecast
1921-01-01,4.0,,,
1921-02-01,3.9,,,
1921-03-01,3.8,,,
1921-04-01,3.8,,,
1921-05-01,3.9,,,
1921-06-01,3.9,,,
1921-07-01,3.8,,,
1921-08-01,4.0,,,
1921-09-01,4.0,,,
1921-10-01,4.2,,,
1921-11-01,4.2,,,
1921-12-01,4.2,,,
1922-01-01,4.3,,,
1922-02-01,4.5,,,
1922-03-01,4.8,,,
1922-04-01,4.6,,,
1922-05-01,4.8,,,
1922-06-01,5.1,,,
1922-07-01,5.1,,,
1922-08-01,5.0,,,
1922-09-01,5.2,,,
1922-10-01,5.5,,,
1922-11-01,5.8,,,
1922-12-01,5.9,,,
1923-01-01,5.8,,,
1923-02-01,5.9,,,
1923-03-01,6.1,,,
1923-04-01,6.2,,,
1923-05-01,6.3,,,
1923-06-01,6.2,,,
1923-07-01,6.2,,,
1923-08-01,6.1,,,
1923-09-01,5.9,,,
1923-10-01,5.9,,,
1923-11-01,5.9,,,
1923-12-01,5.8,,,
1924-01-01,5.9,,,
1924-02-01,6.0,,,
1924-03-01,5.9,,,
1924-04-01,5.7,,,
1924-05-01,5.5,,,
1924-06-01,5.2,,,
1924-07-01,5.2,,,
1924-08-01,5.3,,,
1924-09-01,5.5,,,
1924-10-01,5.7,,,
1924-11-01,5.8,,,
1924-12-01,5.9,,,
1925-01-01,6.1,,,
1925-02-01,6.1,,,
1925-03-01,6.1,,,
1925-04-01,6.2,,,
1925-05-01,6.2,,,
1925-06-01,6.1,,,
1925-07-01,6.3,,,
1925-08-01,6.2,,,
1925-09-01,6.1,,,
1925-10-01,6.3,,,
1925-11-01,6.5,,,
1925-12-01,6.5,,,
1926-01-01,6.4,,,
1926-02-01,6.4,,,
1926-03-01,6.5,,,
1926-04-01,6.5,,,
1926-05-01,6.5,,,
1926-06-01,6.5,,,
1926-07-01,6.6,,,
1926-08-01,6.6,,,
1926-09-01,6.7,,,
1926-10-01,6.7,,,
1926-11-01,6.7,,,
1926-12-01,6.7,,,
1927-01-01,6.7,,,
1927-02-01,6.7,,,
1927-03-01,6.8,,,
1927-04-01,6.6,,,
1927-05-01,6.7,,,
1927-06-01,6.7,,,
1927-07-01,6.6,,,
